작성일,평점,리뷰번역,연도,월,문장_번호,aspect,predicate,대분류,소분류,감성
1달 전,별표 5개,한국 여행에서 절대 놓쳐서는 안 될 곳입니다.,2026,1.0,4,,,,,긍정
1달 전,별표 2개,폐점했어요 😔😣…,2026,1.0,1,폐점,하다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 5개,서울에서 12시간 경유할 때 방문하기 좋은 멋진 곳입니다.,2026,1.0,1,곳,좋다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,서울에서 12시간 경유할 때 방문하기 좋은 멋진 곳입니다.,2026,1.0,1,곳,멋지다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,특히 오전 9시에 개장 시간에 맞춰 가면 혼자서 여유롭게 즐길 수 있어요.,2026,1.0,2,시간,여유롭다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 5개,특히 오전 9시에 개장 시간에 맞춰 가면 혼자서 여유롭게 즐길 수 있어요.,2026,1.0,2,개장,맞추다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 2개,볼거리나 즐길거리가 별로 없습니다.,2026,1.0,1,볼거리,없다,2. 시각적 요소,볼거리 및 경관,부정
1달 전,별표 2개,볼거리나 즐길거리가 별로 없습니다.,2026,1.0,1,즐길거리,없다,4. 활동 및 서비스,체험 콘텐츠,부정
1달 전,별표 5개,정말 아름다운 궁전이었어요.,2026,1.0,1,궁전,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,시어머니께서는 어렸을 적 이 궁전 앞 물가에서 스케이트를 타곤 했다고 말씀하셨죠.,2026,1.0,2,,,,,중립
1달 전,별표 5개,세월이 흐르고 장소가 변하는 것 같아요.,2026,1.0,3,세월,흐르다,1. 전반적 인식,종합 만족도,중립
1달 전,별표 5개,세월이 흐르고 장소가 변하는 것 같아요.,2026,1.0,3,장소,변하다,1. 전반적 인식,종합 만족도,중립
1달 전,별표 5개,"궁전은 그대로 남아있지만, 이곳에서 할 수 있는 것들도 많이 바뀌었네요.",2026,1.0,4,궁전,남다,2. 시각적 요소,볼거리 및 경관,중립
1달 전,별표 5개,"궁전은 그대로 남아있지만, 이곳에서 할 수 있는 것들도 많이 바뀌었네요.",2026,1.0,4,것,바뀌다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 5개,"훌륭한 문화 체험이었고, 마치 다른 세상을 엿보는 듯한 장엄한 경험이었어요.",2026,1.0,5,체험,훌륭하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"훌륭한 문화 체험이었고, 마치 다른 세상을 엿보는 듯한 장엄한 경험이었어요.",2026,1.0,5,경험,장엄하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,잠시 멈춰 서서 이런저런 생각을 해볼 수 있어서 정말 좋았습니다.,2026,1.0,6,생각,좋다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"아름다운 곳이긴 하지만, 제 생각엔 이곳에서 유일하게 흥미로운 점은 장소 자체였던 것 같아요.",2026,1.0,1,곳,아름답다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"아름다운 곳이긴 하지만, 제 생각엔 이곳에서 유일하게 흥미로운 점은 장소 자체였던 것 같아요.",2026,1.0,1,점,흥미롭다,1. 전반적 인식,종합 만족도,부정
1달 전,별표 5개,"원래 모습을 잘 보존하고 있어서 사진 찍기 좋은 곳도 많았지만, 아마도 관광객을 위해 조성된 곳인 것 같습니다.",2026,1.0,2,모습,보존하다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"원래 모습을 잘 보존하고 있어서 사진 찍기 좋은 곳도 많았지만, 아마도 관광객을 위해 조성된 곳인 것 같습니다.",2026,1.0,2,곳,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"원래 모습을 잘 보존하고 있어서 사진 찍기 좋은 곳도 많았지만, 아마도 관광객을 위해 조성된 곳인 것 같습니다.",2026,1.0,2,곳,많다,3. 시설 및 환경,공간 관리 상태,중립
1달 전,별표 5개,현지인들은 (직원들을 제외하고는) 한 명도 보지 못했거든요.,2026,1.0,3,,,,,중립
1달 전,별표 4개,한국의 전통과 역사를 잘 알고 계시네요.,2026,1.0,1,,,,,긍정
1달 전,별표 5개,한국에서 가장 역사적인 장소 중 하나입니다.,2026,1.0,1,장소,역사적이다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,둘러보는 데 약 1시간 30분 정도 소요됩니다.,2026,1.0,2,소요,되다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 5개,좋은 곳,2026,1.0,1,곳,좋다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,사진발이 정말 잘 받아요!,2026,1.0,1,사진발,받다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,한복 입고 오시면 무료 입장입니다.,2026,1.0,2,,,,,중립
1달 전,별표 5개,불이 켜졌어요,2026,1.0,1,불,켜지다,2. 시각적 요소,볼거리 및 경관,중립
1달 전,별표 5개,"어린이는 무료였고, 어른은 3,000원이었습니다.",2026,1.0,1,,,,,중립
1달 전,별표 5개,한복을 입으면 무료였습니다.,2026,1.0,2,,,,,중립
1달 전,별표 5개,아름다운 건물과 풍경이 펼쳐져 있었습니다.,2026,1.0,3,건물,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,아름다운 건물과 풍경이 펼쳐져 있었습니다.,2026,1.0,3,풍경,펼쳐지다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,서울 도심 한복판에 있는 유서 깊은 역사 유적지를 방문할 수 있어서 정말 좋았습니다.,2026,1.0,4,유적지,좋다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"날씨가 추워서 오래 머물지 못해 아쉬웠지만, 구석구석 다 둘러보려면 만 계단을 오르내려야 할 거예요.",2026,1.0,5,날씨,춥다,5. 이용 편의성,접근 및 물리적 여건,부정
1달 전,별표 5개,저희는 인파를 피하기 위해 아침 일찍 방문했습니다.,2026,1.0,6,,,,,중립
1달 전,별표 5개,많은 베트남 관광객들이 이 궁궐을 방문합니다.,2026,1.0,1,,,,,중립
1달 전,별표 5개,규모가 매우 커서 둘러보는 데 약 두 시간이 걸립니다.,2026,1.0,2,규모,크다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 5개,"오전에는 궁궐의 과거 의식을 재현하는 행사가 열리는데, 매우 웅장하고 엄숙한 분위기를 자아냅니다.",2026,1.0,3,분위기,웅장하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"오전에는 궁궐의 과거 의식을 재현하는 행사가 열리는데, 매우 웅장하고 엄숙한 분위기를 자아냅니다.",2026,1.0,3,분위기,엄숙하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,그 외에도 박물관과 다양한 시대의 주거 및 거리 건축 양식을 보여주는 모형들이 있어 구경하는 재미도 쏠쏠하고 아름다운 사진을 찍을 기회도 많습니다.,2026,1.0,4,재미,쏠쏠하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,그 외에도 박물관과 다양한 시대의 주거 및 거리 건축 양식을 보여주는 모형들이 있어 구경하는 재미도 쏠쏠하고 아름다운 사진을 찍을 기회도 많습니다.,2026,1.0,4,사진,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,그 외에도 박물관과 다양한 시대의 주거 및 거리 건축 양식을 보여주는 모형들이 있어 구경하는 재미도 쏠쏠하고 아름다운 사진을 찍을 기회도 많습니다.,2026,1.0,4,기회,많다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,제가 한국에서 가장 좋아하는 장소 중 하나예요 🤍…,2026,1.0,1,장소,좋다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,궁전과 주변 지역에는 볼거리가 많아 반나절 이상은 쉽게 보낼 수 있습니다.,2026,1.0,1,볼거리,많다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"궁전 앞에서 열리는 근위병 교대식은 하루를 시작하는 아름다운 방법이니, 미리 시간을 확인하세요.",2026,1.0,2,방법,아름답다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,전통 의상을 입으면 궁전 입장료가 무료입니다.,2026,1.0,3,,,,,중립
1달 전,별표 5개,"티켓은 정문 바로 안쪽에 있는 셀프 서비스 키오스크에서 구매할 수 있는데, 신용카드만 사용 가능하니 줄이 더 빨리 줄어듭니다.",2026,1.0,4,줄,줄어들다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 5개,(온라인으로 미리 구매할 수도 있습니다.) 이 지역에는 안내를 해주는 직원들이 많이 있습니다.,2026,1.0,5,직원,많다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 5개,"데이터가 있다면 휴대폰에 무료 투어 지도를 다운로드하거나, 종이 지도를 받을 수도 있습니다(유료일 수 있음).",2026,1.0,6,,,,,중립
1달 전,별표 5개,티켓을 받는 두 번째 문을 지나면 인파가 줄어듭니다.,2026,1.0,7,인파,줄어들다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 5개,"저희는 평일에 갔는데도 붐볐지만, 주말이나 공휴일에는 훨씬 더 붐빌 것 같습니다.",2026,1.0,8,,,,,부정
1달 전,별표 5개,궁전 안에는 출구가 여러 개 있어서 왔던 길을 되돌아갈 필요가 없어 편리합니다.,2026,1.0,9,궁전,편리하다,5. 이용 편의성,접근 및 물리적 여건,긍정
1달 전,별표 5개,꽤 많이 걸어야 하고 길이 항상 매끄럽지는 않으니 편안한 신발을 착용하는 것이 좋습니다.,2026,1.0,10,길,매끄럽다,3. 시설 및 환경,공간 관리 상태,부정
1달 전,별표 5개,꽤 많이 걸어야 하고 길이 항상 매끄럽지는 않으니 편안한 신발을 착용하는 것이 좋습니다.,2026,1.0,10,신발,편안하다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 5개,"건물과 정원은 정말 아름다우니, 안내 표지판을 잘 지켜주세요.",2026,1.0,11,건물,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"건물과 정원은 정말 아름다우니, 안내 표지판을 잘 지켜주세요.",2026,1.0,11,정원,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"저희는 몇몇 사람들이 인스타그램 사진을 찍으려고 규칙을 어기거나, 다른 사람들을 밀치고 사진을 찍는 모습을 봤습니다.",2026,1.0,12,,,,,부정
1달 전,별표 5개,"만약 궁궐에 대해 미리 알아보지 않았다면, 투어에 참여하는 것이 더 잘 이해하는 데 도움이 될 것입니다.",2026,1.0,13,투어,도움되다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 5개,여러 언어로 투어가 제공되는 점도 좋았습니다.,2026,1.0,14,투어,좋다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"즐거운 시간 보내시고, 수분 섭취를 잊지 마세요.",2026,1.0,15,시간,즐겁다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"궁궐 안에 작은 카페가 있지만, 특히 더운 날에는 물이나 간식을 챙겨가는 것이 좋습니다.",2026,1.0,16,카페,작다,4. 활동 및 서비스,체험 콘텐츠,중립
1달 전,별표 5개,"역사 애호가, 역사적인 건축물을 좋아하는 사람, 그리고 한국 드라마 팬이라면 꼭 방문해야 할 곳입니다.",2026,1.0,17,,,,,긍정
1달 전,별표 5개,경복궁을 방문했다면 바로 옆에 있는 국립고궁박물관에 들르는 것은 필수 코스입니다.,2026,1.0,1,,,,,긍정
1달 전,별표 5개,한국의 길고도 파란만장했던 역사가 이곳에서는 명확하고 품격 있게 펼쳐집니다.,2026,1.0,2,역사,길다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,한국의 길고도 파란만장했던 역사가 이곳에서는 명확하고 품격 있게 펼쳐집니다.,2026,1.0,2,역사,파란만장하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,한국의 길고도 파란만장했던 역사가 이곳에서는 명확하고 품격 있게 펼쳐집니다.,2026,1.0,2,역사,명확하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,한국의 길고도 파란만장했던 역사가 이곳에서는 명확하고 품격 있게 펼쳐집니다.,2026,1.0,2,역사,품격있다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"박물관은 단순한 유물 전시를 넘어, 침략과 점령, 그리고 극심한 시련 속에서도 굴하지 않고 성장해 온 한 나라의 이야기를 들려줍니다.",2026,1.0,3,시련,극심하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"왕실 유물, 문서, 그리고 세심하게 보존된 유물들을 통해 방문객들은 한국이 어떻게 반복되는 국가적 시련을 극복하고 정체성, 문화, 그리고 사명감을 지켜냈는지 이해하게 됩니다.",2026,1.0,4,유물,세심하다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,"왕실 유물, 문서, 그리고 세심하게 보존된 유물들을 통해 방문객들은 한국이 어떻게 반복되는 국가적 시련을 극복하고 정체성, 문화, 그리고 사명감을 지켜냈는지 이해하게 됩니다.",2026,1.0,4,유물,보존되다,4. 활동 및 서비스,체험 콘텐츠,긍정
1달 전,별표 5개,이러한 역경과 회복의 여정은 현대적이고 자신감 넘치며 미래지향적인 현재의 한국을 더욱 의미 있게 만들어 줍니다.,2026,1.0,5,한국,현대적이다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,이러한 역경과 회복의 여정은 현대적이고 자신감 넘치며 미래지향적인 현재의 한국을 더욱 의미 있게 만들어 줍니다.,2026,1.0,5,한국,자신감넘치다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,이러한 역경과 회복의 여정은 현대적이고 자신감 넘치며 미래지향적인 현재의 한국을 더욱 의미 있게 만들어 줍니다.,2026,1.0,5,한국,미래지향적이다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,이러한 역경과 회복의 여정은 현대적이고 자신감 넘치며 미래지향적인 현재의 한국을 더욱 의미 있게 만들어 줍니다.,2026,1.0,5,한국,의미있다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"궁궐과 박물관은 함께 강력한 역사적 연속성을 만들어내며, 방문객들에게 한국의 왕실 역사를 감상할 뿐만 아니라 한국이 오늘날 세계 무대에서 차지하는 위상에 이르기까지 걸어온 놀라운 여정을 되새기게 해 줍니다.",2026,1.0,6,연속성,강력하다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"궁궐과 박물관은 함께 강력한 역사적 연속성을 만들어내며, 방문객들에게 한국의 왕실 역사를 감상할 뿐만 아니라 한국이 오늘날 세계 무대에서 차지하는 위상에 이르기까지 걸어온 놀라운 여정을 되새기게 해 줍니다.",2026,1.0,6,여정,놀랍다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,20260111.,2026,1.0,1,,,,,중립
1달 전,별표 4개,아름다운 궁궐이라 둘러보기에 좋습니다.,2026,1.0,1,궁궐,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,아름다운 궁궐이라 둘러보기에 좋습니다.,2026,1.0,1,궁궐,좋다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,경내는 그리 넓지 않아요.,2026,1.0,2,경내,넓다,3. 시설 및 환경,공간 관리 상태,중립
1달 전,별표 4개,한복을 입으면 무료로 입장할 수 있습니다.,2026,1.0,3,,,,,중립
1달 전,별표 5개,한국 드라마에 나올 것 같은 녀석.,2026,1.0,1,,,,,중립
1달 전,별표 5개,망했어.,2026,1.0,2,,,,,부정
1달 전,별표 5개,정말 멋지고 흥미로운 곳이었어요.,2026,1.0,1,곳,멋지다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,정말 멋지고 흥미로운 곳이었어요.,2026,1.0,1,곳,흥미롭다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 5개,"너무 즐거운 시간이었고, 100% 추천합니다!",2026,1.0,2,시간,즐겁다,1. 전반적 인식,종합 만족도,긍정
1달 전,별표 4개,이국에서 연월을 하고 싶은 한국을 방문했습니다.,2026,1.0,1,,,,,중립
1달 전,별표 4개,"🇰🇷
12월 31일은 입장 무료였습니다.",2026,1.0,2,,,,,중립
1달 전,별표 4개,어디까지나 푸른 하늘은 최고였습니다.,2026,1.0,3,하늘,푸르다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,한복을 대여해 방문하는 관광객이 많이 있었습니다!,2026,1.0,4,관광객,많다,5. 이용 편의성,접근 및 물리적 여건,중립
1달 전,별표 4개,"밤에는 카운트 다운에서 광화문
프로젝션 매핑이 아름다웠어요!",2026,1.0,5,매핑,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 4개,✨✨,2026,1.0,6,,,,,긍정
1달 전,별표 5개,네!,2026,1.0,1,,,,,중립
1달 전,별표 5개,근위병 교대식을 두 번이나 봤어요!,2026,1.0,2,,,,,중립
1달 전,별표 5개,꼭 해보고 싶었던 것 중 하나였죠.,2026,1.0,3,,,,,긍정
1달 전,별표 5개,멋지다 좋아,2026,1.0,1,,,,,긍정
1달 전,별표 4개,서울 방문 시 꼭 들러볼 만한 곳입니다.,2026,1.0,1,,,,,긍정
1달 전,별표 4개,30~45분이면 빠르게 둘러볼 수 있어요.,2026,1.0,2,,,,,중립
1달 전,별표 4개,근위병 교대식 시간은 온라인에서 확인하세요.,2026,1.0,3,,,,,중립
1달 전,별표 4개,한복을 입으면 무료로 입장할 수 있습니다.,2026,1.0,4,,,,,중립
1달 전,별표 5개,아름다운 곳,2026,1.0,1,곳,아름답다,2. 시각적 요소,볼거리 및 경관,긍정
1달 전,별표 5개,"한국의 유명 관광지인 이곳은 한복(전통 한국 의상)을 입고 사진을 찍기에 완벽한 장소이지만, 영하 10도의 추위 속에서 사진을 찍는 것은 춥기도 하지만 스릴 넘치는 경험입니다.",2026,1.0,1,관광지,유명하다,1. 전반적 인식,종합 만족도,긍정
